gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000011219	ENSDARG00000011219	akt2	43.6148884266719	-0.693928155553716	0.72166562409554	0.00740573968342376	0.174172626077546	FALSE	FALSE	not DE
ENSDARG00000025500	ENSDARG00000025500	mtx1a	39.2616176716495	-0.691228903557664	0.905125337008157	0.0141514318624908	0.250163798779689	FALSE	FALSE	not DE
ENSDARG00000055092	ENSDARG00000055092	pora	31.3890067095933	-0.68727454597132	0.964117195477926	0.016369964107333	0.264578006354309	FALSE	FALSE	not DE
ENSDARG00000061794	ENSDARG00000061794	jam3b	8.35094732813925	-0.684743628045914	1.1389020157611	0.0173205503293328	0.270190529665703	FALSE	FALSE	not DE
ENSDARG00000104789	ENSDARG00000104789	dele1	13.5512234613953	-0.680878084946151	1.09847415205864	0.0183692520819916	0.276904237555744	FALSE	FALSE	not DE
ENSDARG00000102998	ENSDARG00000102998	taf6	11.0539898739899	-0.675492471089658	1.08943493604162	0.0187175543935406	0.281323514628176	FALSE	FALSE	not DE
ENSDARG00000088187	ENSDARG00000088187	CR381544.1	7.01018895014382	-0.675043634118018	1.08353847659379	0.0187938280520366	0.281582990124964	FALSE	FALSE	not DE
ENSDARG00000054222	ENSDARG00000054222	fbxl8	7.28286846005354	-0.656677916350352	1.22087475956815	0.012280379029515	0.231967511088274	FALSE	FALSE	not DE
ENSDARG00000009870	ENSDARG00000009870	mapk8b	31.4100803771741	-0.654407458317342	0.940377251304883	0.0176744809212763	0.271379029916967	FALSE	FALSE	not DE
ENSDARG00000078686	ENSDARG00000078686	arl8a	8.83132451117784	-0.634791997191269	0.975824691432206	0.0201954663859803	0.292034599317836	FALSE	FALSE	not DE
ENSDARG00000002362	ENSDARG00000002362	ubald1a	7.38307442153775	-0.633289365491309	1.10780693883708	0.0199597230861259	0.290293780419055	FALSE	FALSE	not DE
ENSDARG00000016999	ENSDARG00000016999	lin28a	69.8752289213894	-0.630765998612577	0.743115168694927	0.0105366436243521	0.211867459955314	FALSE	FALSE	not DE
ENSDARG00000079110	ENSDARG00000079110	cluap1	49.1584985874136	-0.626840200245757	0.830024786687648	0.0147775737820771	0.255763869580942	FALSE	FALSE	not DE
ENSDARG00000041729	ENSDARG00000041729	sntb1	10.23483835407	-0.620870949662371	1.073958304239	0.0215546593415151	0.299021379742031	FALSE	FALSE	not DE
ENSDARG00000011175	ENSDARG00000011175	atp6v1d	44.2813836164232	-0.616331888575763	0.958374815823933	0.0211035620194544	0.29721033832026	FALSE	FALSE	not DE
ENSDARG00000078523	ENSDARG00000078523	ddr1	13.328050671293	-0.614370149770926	1.0972951661293	0.0209983095080259	0.296570079621895	FALSE	FALSE	not DE
ENSDARG00000045294	ENSDARG00000045294	sh3glb1a	41.5563971784781	-0.61281634034435	0.730341224692185	0.0108154272715991	0.215267059842866	FALSE	FALSE	not DE
ENSDARG00000007443	ENSDARG00000007443	fbxl18	32.7832602884436	-0.610799870715474	0.909485440439327	0.0196962260927603	0.288412858371919	FALSE	FALSE	not DE
ENSDARG00000038900	ENSDARG00000038900	acadm	40.0309479892091	-0.609759768557404	0.787537927517421	0.0137557613407014	0.248215072816246	FALSE	FALSE	not DE
ENSDARG00000029356	ENSDARG00000029356	mboat1	12.3424795718579	-0.609221693025693	0.99318825095263	0.0225311549318106	0.307985114883055	FALSE	FALSE	not DE
ENSDARG00000095821	ENSDARG00000095821	si:dkey-122a22.2	12.7933678960518	-0.606079450440993	1.05350499877125	0.0227668482141062	0.30857261614781	FALSE	FALSE	not DE
ENSDARG00000035569	ENSDARG00000035569	cyp1d1	10.4045714303344	-0.602024357386654	1.22657474510468	0.00859155414132905	0.188787767884662	FALSE	FALSE	not DE
ENSDARG00000062363	ENSDARG00000062363	phex	12.1236270533851	-0.600243106730384	0.836937886450851	0.016979576888855	0.269543408558808	FALSE	FALSE	not DE
ENSDARG00000008807	ENSDARG00000008807	bokb	41.7021110697557	-0.588856619512034	0.909649919041398	0.0215935998338768	0.299021379742031	FALSE	FALSE	not DE
ENSDARG00000094725	ENSDARG00000094725	si:ch211-284e13.5	61.4563058944323	-0.58746557129315	0.720024174562573	0.01162794654466	0.224319281670387	FALSE	FALSE	not DE
ENSDARG00000099199	ENSDARG00000099199	itchb	30.7420035343142	-0.586807444135643	0.901482663211373	0.0214049392996671	0.298392072104828	FALSE	FALSE	not DE
ENSDARG00000055930	ENSDARG00000055930	zc3h7bb	32.2323498357349	-0.586116996370268	0.803815216749538	0.016242910929661	0.264204027352687	FALSE	FALSE	not DE
ENSDARG00000090543	ENSDARG00000090543	tmem138	46.901070925817	-0.585816748343378	0.857987701631574	0.0192786815229484	0.285836962274191	FALSE	FALSE	not DE
ENSDARG00000009837	ENSDARG00000009837	agk	9.80854059348566	-0.5732831131484	1.03376739404565	0.0251203503777236	0.324373197828838	FALSE	FALSE	not DE
ENSDARG00000108136	ENSDARG00000108136	CABZ01113599.1	26.00860087796	-0.572678997738846	0.965300137670523	0.0250867068802206	0.324373197828838	FALSE	FALSE	not DE
ENSDARG00000078394	ENSDARG00000078394	CABZ01059627.1	35.836028645365	-0.572143055653531	0.799573636941343	0.017093085374401	0.269611560442966	FALSE	FALSE	not DE
ENSDARG00000103361	ENSDARG00000103361	tshz3b	5.39858085021597	-0.568794490329004	1.11165239106102	0.020506688946245	0.293426945427781	FALSE	FALSE	not DE
ENSDARG00000068883	ENSDARG00000068883	tspan13a	10.2228003925441	-0.567039281275727	1.01131595084466	0.02592319843575	0.327406036177956	FALSE	FALSE	not DE
ENSDARG00000019907	ENSDARG00000019907	dscc1	14.8638395810348	-0.564204202031533	1.04559264955575	0.0252523955279915	0.324373197828838	FALSE	FALSE	not DE
ENSDARG00000037199	ENSDARG00000037199	NA	84.8475662532712	-0.554981553274049	0.692805985063104	0.0120501871319531	0.229637254067788	FALSE	FALSE	not DE
ENSDARG00000090935	ENSDARG00000090935	usp16	9.109182822585	-0.546360777525297	1.1029060327344	0.0209580773919444	0.296570079621895	FALSE	FALSE	not DE
ENSDARG00000074490	ENSDARG00000074490	casc4	18.6272772178983	-0.546089055797498	0.815309111216382	0.0204400969334488	0.293426945427781	FALSE	FALSE	not DE
ENSDARG00000056642	ENSDARG00000056642	hdac9b	8.53943888782942	-0.540927753644095	1.12697576245049	0.0174487359627139	0.270229126984509	FALSE	FALSE	not DE
ENSDARG00000094165	ENSDARG00000094165	BX649434.1	9.91776327732884	-0.540165354989392	1.10249046755865	0.0207904965006968	0.295742476377179	FALSE	FALSE	not DE
ENSDARG00000036214	ENSDARG00000036214	dazl	58.3180074762435	-0.538748078015715	0.621026866846176	0.00912487669249372	0.19508097898769	FALSE	FALSE	not DE
